Number;Cell Line;Vector Name;Vector no.;Label (if divergent to col.1&2) /Clone no.;Date of Freezing;Frozen by;Additional Information
58;U937 458;pMIAII/pMSCV-eGFP;85/74;;41494;JET;"Sort vom 29.7.13; zweiter freeze; myco-"
59;U937 458;pMIAII/pMSCV-eGFP;85/74;;41494;JET;"Sort vom 29.7.13; zweiter freeze; myco-"
60;U937 458;pMIAII/pMSCV-eGFP;85/74;;41494;JET;"Sort vom 29.7.13; zweiter freeze; myco-"
61;U937;pBMN-IRES-eGFP;53;U937 53-2;40228;AK;Infection Lina (second set of U937-53 cells) CAVE: no differentation with TPA,  parallel freeze tested mycoplasm free
62;U937;pBMN-IRES-eGFP;53;U937 53-2;40228;AK;Infection Lina (second set of U937-53 cells) CAVE: no differentation with TPA,  parallel freeze tested mycoplasm free
63;U937;pBMN-IRES-eGFP;53;U937 53-2;40228;AK;Infection Lina (second set of U937-53 cells) CAVE: no differentation with TPA,  parallel freeze tested mycoplasm free
64;U937;pBMN-IRES-eGFP;53;U937 53-2;40228;AK;Infection Lina (second set of U937-53 cells) CAVE: no differentation with TPA,  parallel freeze tested mycoplasm free
65;U937;pBMN-IRES-eGFP;53;U937 53-2;40228;AK;Infection Lina (second set of U937-53 cells) CAVE: no differentation with TPA,  parallel freeze tested mycoplasm free
66;U937eco;pBMN-IRES-eGFP;53;;40290;CN;1.Sort
67;U937eco;;53;;40401;IA;sorted twice, 100%GFP+
68;U937eco;PBMN-IRES-eGFP EVI1;458;;40290;CN;1.Sort
69;U937eco;;458;;40401;IA;sorted twice, 100%GFP+
70;U937;pBMN-IRES-eGFP;53;U937-pBMN;40263;BSt;Infectin Lina (second set of U937-53 cells), 2nd sort, myco-free
71;U937;pBMN-IRES-eGFP;53;U937-pBMN;40263;BSt;Infectin Lina (second set of U937-53 cells), 2nd sort, myco-free
72;U937;pBMN-IRES-eGFP;53;U937-pBMN;40263;BSt;Infectin Lina (second set of U937-53 cells), 2nd sort, myco-free
73;U937;PBMN-IRES-eGFP EVI1;458;U937-pBMN-EVI1;40277;BSt;Infection Lina (second set of U937-458 cells) 2nd sort(only 1.8% positive), mykokill treated
74;U937;PBMN-IRES-eGFP EVI1;458;U937-pBMN-EVI1;40277;BSt;Infection Lina (second set of U937-458 cells) 2nd sort(only 1.8% positive), mykokill treated
75;U937;PBMN-IRES-eGFP EVI1;458;U937-pBMN-EVI1;40277;BSt;Infection Lina (second set of U937-458 cells) 2nd sort(only 1.8% positive), mykokill treated
76;U937;pBMN-IRES-eGFP;53;U937-pBMN;40277;BSt;Infectin Lina (second set of U937-53 cells), 2nd sort, myco-free
77;U937;pBMN-IRES-eGFP;53;U937-pBMN;40277;BSt;Infectin Lina (second set of U937-53 cells), 2nd sort, myco-free
78;U937;pBMN-IRES-eGFP;53;U937-pBMN;40277;BSt;Infectin Lina (second set of U937-53 cells), 2nd sort, myco-free
79;;;;;;;
80;;;;;;;
81;;;;;;;
